urlkey,timestamp,original,mimetype,statuscode,digest,mp3_version,album,artist,composer,genre,releaseDate,file_size,audio_encoding,file_format,file_extension,duration,format_settings,bit_rate_mode,bit_rate,channel_s,sampling_rate,bit_depth,writing_library,sha256,sha512
house.missouri.gov/pr/audio/2003/6-3/rep.+icet+on+who+should+pay+for+education.wav,20041025085830,www.house.missouri.gov,audio/wav,200,5CR4XAL6B2EJ7YO2U6SB464YQPDWRLUU,-,-,-,-,-,-,1216744,PCM,Wave,wav,13792,Little / Signed,CBR,705600,1,44100,16,-,c77bd181cda2cc8027228061a5c686dfe4ad00215582cace85ca6d7f973001f8,49f5162772809ab9d4676d90829ddc9476b5105f3384a3a0b3901b8c49c5a32551115eeacbd4963e5785f2dcdc781274848bc08aed82bbf6650e8ac57c80803a
hsgac.senate.gov/041802video.ram,20101207154229,http://hsgac.senate.gov/041802video.ram,audio/x-pn-realaudio,200,PEUGB4MASFG6WGEPKAUH6UHOI66PXAIC,-,-,-,-,-,-,52,-,-,ram,-,-,-,-,-,-,-,-,15675428f000dde4f41f1d749e9ae2dd142c83c9bdcbc1d465beafcece511a36,e4bafc532b2d7f0b4b6f3da47c24c5a99f655248d260b3a9a49e289c1cbfc4d67a7389b861069176442bfa0f8cb283fae98ba85c139d8eb51680dc59b8f399a8
kids.niehs.nih.gov/midi/loveand.mid,20090620211317,http://kids.niehs.nih.gov/midi/loveand.mid,audio/midi,200,WW3ZUP3I4PSRJA2MLJ5U6TDXA2FM5C5Q,-,-,-,-,-,-,3932,MIDI,MIDI,mid,-,-,-,-,-,-,-,-,5608fa4d18b069861ccb54f02ea94d97ed12c55907978a10103a842d78981669,fd5fb182c0687736b091ae24f4ea708a3e4c7ddef0b852cb21f86e265849b3ff562dfab4423bb3a0764288732cd4bee534b4168bd99351b727409f4bc9369fac
legtalk.mt.gov/ramgen/archives/minutes/2007/house/jlh/070122jlh.rm,20100113020923,http://legtalk.mt.gov/ramgen/Archives/Minutes/2007/House/JLH/070122JLH.rm,audio/x-pn-realaudio,200,R6MKGGG2MQQWKENEQU64GZOOWRTTVMAG,-,-,-,-,-,-,85,-,-,rm,-,-,-,-,-,-,-,-,e411b74bfd848240ed5cf8547233c1b2409358b0c20b8547aa7d0b665b3d6797,c1e0ab607255a849e8f0150e1185fc8000a3c38fa841a69e91a7f7a21f183a36b0100a45550b23a6c4ebc7b2e99b9aabe2a760c5a9249984210a3144964e2ebe
legtalk.mt.gov/ramgen/archives/minutes/2007/senate/his/070313his.rm,20090412015425,http://legtalk.mt.gov/ramgen/Archives/Minutes/2007/Senate/HIS/070313HIS.rm,audio/x-pn-realaudio,200,V3UNSRUWY6OQVTKMBRMAEWVD4Q7DYUKI,-,-,-,-,-,-,86,-,-,rm,-,-,-,-,-,-,-,-,53f7f2b1d72447a29cc89562614fd9d14e504ef54dabef73f397ed8cd3fd6662,7f339ca4ef0c37a44c0e8887a1231f0083e66fab3bb5a53d2fb2653b3609d775f53ac92e5b44bfa889d7110903915c8621ae2a1347c437fceedc667e7646e077
legtalk.mt.gov/ramgen/archives/minutes/2007/senate/jus/070105jus.rm,20100623064033,http://legtalk.mt.gov/ramgen/Archives/Minutes/2007/Senate/JUS/070105JUS.rm,audio/x-pn-realaudio,200,RGMYSKUK46IQFWFLU37P6SRFYEDT3EB5,-,-,-,-,-,-,86,-,-,rm,-,-,-,-,-,-,-,-,3ed174d1142a801bee59fc0b5b201b8af271e99be80a003d10ed30a2a9e059f2,c9d80b1bf3f6a1c165237c2101a55b071f7e36563fbcf17f3b550cc2beeae4f340faddcb710ebbbe103fed9873ace80dcf6e9dc77bb7bee99f81a440bc2e63fc
legtalk.mt.gov/ramgen/archives/minutes/2007/senate/sts/070214sts.rm,20090615204532,http://legtalk.mt.gov/ramgen/Archives/Minutes/2007/Senate/STS/070214STS.rm,audio/x-pn-realaudio,200,RR2NTUF3I4LMUWUAO526ALICT6SXOLEF,-,-,-,-,-,-,86,-,-,rm,-,-,-,-,-,-,-,-,6e8bd5a1073eba5d31d4bd301e6c3313d0bed690348fc2e827181d9eed10267b,2a4c9b5c6ff0784aaa2288f9d31650dc658c253be83d73b6947ed272a6d22817a343d21e7523ede28df00c1c0c5f66125b0fb1e1fad8048e7416a165602a2433
lummis.house.gov/uploadedfiles/lummis_statement_on_stimulus_ii_--_12.16.09.mp3,20110707212624,http://lummis.house.gov/UploadedFiles/Lummis_Statement_on_Stimulus_II_--_12.16.09.mp3,audio/mpeg,200,FHXOLKB5STDL5XR6BVMSTHLLPI2DPC3N,MPEG 3 Layer III Version 1,-,-,-,-,-,1297263,MPEG Audio,MPEG Audio,mp3,54026,Joint stereo,CBR,192000,2,44100,-,LAME3.96r,96d5895e7156997b2b9ff7b6a8978d76216e4770c838a5e12b60fc9617273c10,0c3271cc5e7c83d86e4612214c80d375bc2061899a149ba8545f5a8e685843b3a761f0d3c99fc838fd78dc86376ae78f52a07f0f65a59cf260c8322f4bc66eaa
mccaskill.senate.gov/files/mp3/mccaskill060910.mp3,20100707143428,http://mccaskill.senate.gov/files/mp3/mccaskill060910.mp3,audio/mpeg,200,OM4STSQNOHCIDR2QECXWC2M7MATOGGWZ,MPEG 3 Layer III Version 1,-,-,-,-,-,23166018,MPEG Audio,MPEG Audio,mp3,1447876,-,CBR,128000,1,44100,-,-,4970614a35e93ab8d7f4fdf4774100912d338d8e63f66e4e2dd2495307d19807,37a798fc81d73fa6d53428c0b5111f24bb08ac5b5c7e792cd8ee34350c85823744c62d720b9f3cc183c1fdc42a755bd7108d53c3f1276837a5aa5a02f15e4b9a
memory.loc.gov/afc/afccc/audio/a335/a3356a1.wav,20150208150103,http://memory.loc.gov/afc/afccc/audio/a335/a3356a1.wav,audio/x-wav,200,LOKJZSDGQXQWGTEODYDPUUXQC6NRDWDN,-,-,-,-,-,-,7493302,PCM,Wave,wav,169912,Little / Signed,CBR,352800,1,22050,16,-,761570147b1c40b75be4b9a9dda4635af6016ea3e97c41c1994e76af6313a3ba,5b7ef074ab27e4a54b471367ba02cfd580db54edabc6ba369cc7b4c7575eef86154815c86be59f32eba0c83dce49a28663ff98837dbb594f2199279ac9f2f3f7
